# header
aws, aws.us-east-1.us-east-1-bos-1a.edge, us-east, us-east-1-bos-1a, edge, us-east-1
aws, aws.us-east-1.us-east-1-dfw-2a.nte, us-east, us-east-1-dfw-2a, nte, us-east-1
aws, aws.us-east-1.us-east-1-iah-2a.edge, us-east, us-east-1-iah-2a, edge, us-east-1
aws, aws.us-east-1.us-east-1-nyc-1a.nte, us-east, us-east-1-nyc-1a, nte, us-east-1
aws, aws.us-east-1.us-east-1-phl-1a.edge, us-east, us-east-1-phl-1a, edge, us-east-1
aws, aws.us-east-1.us-east-1a.cloud, us-east, us-east-1a, cloud, us-east-1
aws, aws.us-west-2.us-west-2-las-1a.edge, us-west, us-west-2-las-1a, edge, us-west-2
aws, aws.us-west-2.us-west-2-lax-1a.edge, us-west, us-west-2-lax-1a, edge, us-west-2
aws, aws.us-west-2.us-west-2-pdx-1a.nte, us-west, us-west-2-pdx-1a, nte, us-west-2
aws, aws.us-west-2.us-west-2-sea-1a.edge, us-west, us-west-2-sea-1a, edge, us-west-2
aws, aws.us-west-2.us-west-2a.cloud, us-west, us-west-2a, cloud, us-west-2
azure, azure.centralus.default.cloud, us-central, default, cloud, centralus
azure, azure.northcentralus.default.cloud, us-north-central, default, cloud, northcentralus
azure, azure.southcentralus.default.cloud, us-south-central, default, cloud, southcentralus
azure, azure.westus.default.cloud, us-west, default, cloud, westus
azure, azure.westus2.default.edge, us-west, default, edge, westus2
azure, azure.westus3.default.cloud, us-west, default, cloud, westus3
gcp, gcp.us-east1.b.cloud, us-east, b, cloud, us-east1
gcp, gcp.us-west1.b.cloud, us-west, b, cloud, us-west1
os, os.scinet.zone-1.cloud, scinet, zone-1, cloud, scinet
os, os.scinet.zone-10.cloud, scinet, zone-10, cloud, scinet
os, os.scinet.zone-2.cloud, scinet, zone-2, cloud, scinet
os, os.scinet.zone-20.edge, scinet, zone-20, edge, scinet
os, os.scinet.zone-3.cloud, scinet, zone-3, cloud, scinet
os, os.scinet.zone-4.cloud, scinet, zone-4, cloud, scinet
os, os.scinet.zone-5.cloud, scinet, zone-5, cloud, scinet
os, os.scinet.zone-6.cloud, scinet, zone-6, cloud, scinet
os, os.scinet.zone-7.cloud, scinet, zone-7, cloud, scinet
os, os.scinet.zone-8.cloud, scinet, zone-8, cloud, scinet
os, os.scinet.zone-9.cloud, scinet, zone-9, cloud, scinet
